text;ground_truth;found;phrases_found;out_of
Says the Annies List political group supports third-trimester abortions on demand;0.0;0.0;1;9
When did the decline of coal start? It started when natural gas took off that started to begin in President George W. Bushs administration;0.5;0.0;4;22
Hillary Clinton agrees with John McCain by voting to give George Bush the benefit of the doubt on Iran;0.75;0.9240160647298606;5;17
Health care reform legislation is likely to mandate free sex change surgeries;0.0;1.0;1;10
The economic turnaround started at the end of my term;0.5;0.969714545556083;2;8
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured UW faculty fired during the last two decades;1.0;0.9067851563634053;11;25
Jim Dunnam has not lived in the district he represents for years now;0.25;0.11410742419908593;3;11
Im the only person on this stage who has worked actively just last year passing along with Russ Feingold some of the toughest ethics reform since Watergate;0.5;0.9084298923945286;7;25
However it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific;0.5;-1;0;21
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs;0.75;-1;0;19
For the first time in history the share of the national popular vote margin is smaller than the Latino vote margin;0.75;0.9294885991494313;12;19
Since 2000 nearly 12 million Americans have slipped out of the middle class and into poverty;0.5;0.11410742419908593;3;14
When Mitt Romney was governor of Massachusetts we didnt just slow the rate of growth of our government we actually cut it;0.0;0.04328817317369471;6;20
The economy bled $24 billion due to the government shutdown;0.75;0.02446062058192977;2;8
Most of the Affordable Care Act has already in some sense been waived or otherwise suspended;0.25;0.9482375225314149;6;14
In this last election in November 63 percent of the American people chose not to vote 80 percent of young people and 75 percent of low-income workers chose not to vote;0.5;0.9639628484835574;10;29
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote disgraceful;1.0;0.02509917125600092;2;17
U.S. Rep. Ron Kind D-Wis. and his fellow Democrats went on a spending spree and now their credit card is maxed ou;0.25;5.427976285110603e-07;14;20
Water rates in Manila Philippines were raised up to 845 percent when a subsidiary of the World Bank became a partial owner;0.5;0.0;1;20
Almost 100000 people left Puerto Rico last year;0.75;-1;0;6
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor;0.0;0.0;1;18
The United States has the highest corporate tax rate in the free world;0.75;0.8458278002126864;11;11
We just had the best year for the auto industry in America in history;0.75;0.02509917125600092;6;12
Says Scott Walker favors cutting up to 350000 families and children off health care;0.5;1.0;1;12
Says Mitt Romney wants to get rid of Planned Parenthood;0.25;0.8908593889392048;7;8
I dont know who Jonathan Gruber is;0.0;0.0;1;5
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino;0.75;-1;0;12
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections;0.5;0.000629968397738101;4;21
ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga Tenn;0.0;-1;0;12
