text;grand_truth;calculated;dif;found phrases;out of
Says Bernie Sanders voted for what we call the Charleston Loophole;0.75;0.6174786707120921;0.13252132928790794;4;9
We dont have any chess grandmasters in the United States;0;0.3256567602237742;-0.3256567602237742;4;8
Obamas plan for health care reform ends exorbitant out-of-pocket expenses deductibles or co-pays;0.75;0.27249041402892327;0.47750958597107673;2;11
The No. 1 cause of childhood deaths is preventable accidents;0.75;1.0;-0.25;3;8
Jeff Atwaters bank was so weak that just a few months ago it was shut down by the FDIC;0.5;0.2611789349814465;0.2388210650185535;4;17
As long as I have served This is the first time every single solitary decision has required 60 senators;0;0.27249041402892327;-0.27249041402892327;4;17
The State of Texas does not even use the E-Verify system to determine if someone is legally in our country when they apply for a job;1;0.4317151408470331;0.5682848591529669;8;24
57% of the jobs created in Austin from 2009 to 2013 do not pay families a living wage;0.75;0.35181368727423;0.39818631272577;4;16
Says Texas General Land Office has earned the school children of Texas $451932.89 on wind leases that havent produced a watt of energy;1;1.0;0.0;2;21
We are within the margin of error;0.5;0.27249041402892327;0.22750958597107673;2;5
State support for local schools per pupil has decreased by at least 25 percent over the past decade;0.5;0.24071187911663494;0.25928812088336506;6;16
Each Corbett administration budget finished in the black;0.5;-1;1.5;0;6
Says Hillary Clinton promised running for the Senate years ago 200000 jobs for upstate New York. Not only didnt they come but they lost so many jobs;0.75;0.42386167814303155;0.32613832185696845;2;25
A couple of hundred American cities are infested by members of the Mexican cartels;1;0.4404888181784592;0.5595111818215408;3;12
Barack Obamas health care plan is to mandate health care coverage and have a universal government-run program;0.25;0.15656369981858753;0.09343630018141247;9;15
Hollywood is 1 in Broward homicides in 2013. Thanks Chief Fernandez;0.5;1.0;-0.5;1;9
50 percentof murders in Texas have been linked to illegal aliens;0;0.12321399908691455;-0.12321399908691455;2;9
Paul Ryan cut embassy security in his budget by $300 million below what we asked for;0.5;1.0;-0.5;1;14
Among Syrian refugees and migrants coming into Europe there look like very few women. Very few children;0;0.1997321943827859;-0.1997321943827859;2;15
Ponzi schemer Scott Rothstein gave hundreds of thousands of campaign cash to control Crists appointments of key state judges;0.5;0.2847027830482637;0.21529721695173631;3;17
Senator Robert Hurt voted for a bill thats raised your electric rates seven times;0;1.0;-1.0;1;12
Since 2004 there have been some 1300 attacks on rail targets. Four thousand people have died. Thousands of injuries;0.25;0.4741419798168458;-0.2241419798168458;2;17
Says Donald Trump said a woman should be punished for exercising her right to choose;0.5;0.646594720286334;-0.14659472028633402;3;13
Senator Chris Dodd chairman of the Senate Banking Committee placed an amendment in the stimulus bill that allowed for banks bailed out with taxpayer money including AIG to hand out huge bonuses;0.5;0.24104882313700893;0.2589511768629911;6;30
Says legislative debate of airport pat-down procedures initiated federal changes in security procedures;0;-1;1.0;0;11
Says Hillary Clinton aide Huma Abedin has ties to the Muslim Brotherhood;0;1.0;-1.0;2;10
Decorated Marine two-tour Iraq war vet;1;-1;2.0;0;4
If you make more than $250000 a year you only really take home about $125000;0;0.31624824852019073;-0.31624824852019073;4;13
Says Donald Trump said the U.S. should encourage Japan to get nuclear weapons;0.75;0.3766870099981596;0.3733129900018404;5;11
We have the highest rate of childhood poverty of any major country on Earth;0.25;0.3500233128376715;-0.10002331283767152;11;12
The Doherty Campaign unlike the Cicilline Campaign is funded mostly by individual donors  not the big PACs that Cicilline relies on;0;-1;1.0;0;19
Since parole abolition Virginias crime rate has fallen to third lowest in the country our recidivism rate is down 20 percent and thats the second lowest in the country;0.75;0.32927762329148735;0.42072237670851265;8;27
When you were casting your vote for Republicans Brian Kemp was voting for Democrats.	message-machinevoting-record	doug-macginnitie	Sandy Springs City Councilman	Georgia	republican	1	1	0	0	0	a campaign commercia;0.25;1.0;-0.75;2;28
I want to give every American a $5000 refundable tax credit;0.5;0.2847027830482637;0.21529721695173631;3;9
Says Hillary Clinton plans to massively increase admissions of Middle East refugees including a 500 percent increase in Syrian refugees coming into our country;0.75;0.2618268682264605;0.4881731317735395;8;22
If you look at the jobs lost in the private sector as opposed to the job gains in the public sector its out of whack. The governments growing and the private economys shrinking;0.5;0.42062268968443095;0.07937731031556905;11;31
The president and vice president cant be from the same state;0;0.12321399908691455;-0.12321399908691455;2;9
There are actual cities like Birmingham England that are totally Muslim where non-Muslims just simply dont go in;0;-1;1.0;0;16
Says 40 years ago the U.S. placed Texas under Voting Rights Act for failing to print ballots in Spanish;0.5;0.2985305217983656;0.2014694782016344;5;17
I campaigned on the proposals in the budget repair bill for Wisconsin all throughout the election. Anybody who says they are shocked on this has been asleep for the past two years;0;0.4116749878161763;-0.4116749878161763;4;30
When I was mayor Providence was one of the five renaissance cities of America according to USA Today in those days. Money magazine said it was the fifth best city to live in in America. In addition to that All Cities Almanac said in 1994 I believe that it was the safest city in America;1;0.3583185413851503;0.6416814586148497;11;53
If you took every penny of the 1 percent including their dog you wouldnt even begin to balance the budget;0.25;0.4125807554776819;-0.16258075547768192;3;18
The Obama administration went to court to keep one of these five in jail at Guantanamo just three years ago because he was such a huge risk;0.5;0.22411439288216795;0.27588560711783205;8;25
Says Israel profiles based on ethnicity and does it very successfully;0.5;-1;1.5;0;9
Statistics show 2 to 3 Texas women per week have major complications and 10 women per week seek help at an ER after an abortion;0;-1;1.0;0;23
Under the new health care law all real estate transactions will be subject to a 3.8% Sales Ta;0;0.17577568791522657;-0.17577568791522657;10;16
Says Sherwin-Williams is making lead paint and poisoning people around the world;0.5;1.0;-0.5;1;10
When the governor announced his jobs budget 99 folks from the Department of Taxation were let go the next day;1;1.0;0.0;2;18
If we use Tax Increment Financing funding thats going to take funds from the general fund for Pinellas County as it will take funds from the general fund for the city of St. Pete;0;0.43119480026819723;-0.43119480026819723;10;32
Illegal counterfeiting and piracy costs the U.S. economy $100 billion every year;0;0.12321399908691455;-0.12321399908691455;2;10
Some criminals have learned how to spy on Americans hacking into our home computers and looking out through the video camera attached to the screen;1;1.0;0.0;1;23
Says Texas public school funding grew three times the rate of enrollment from 2002 to 2012;0;0.6613927335309477;-0.6613927335309477;5;14
Says Indiana Gov. Mike Pence denies that theres such a thing as evolution;0.5;1.0;-0.5;3;11
Insurance companies have seen their profits soar by more than 400 percent since 2001;0.5;0.4741419798168458;0.025858020183154196;2;12
Since the stimulus package was passed Ohios lost over 100000 more jobs;1;0.646594720286334;0.353405279713666;3;10
When Jim Doyle was governor and Mary Burke was commerce secretary Wisconsin saw billions in middle-class tax hikes on nursing home beds gas phones and garbage;0;0.6525166300623011;-0.6525166300623011;3;24
Barry Smitherman doesnt have enough legal experience to apply for most of the jobs at the attorney generals office;0.75;0.5099778301773237;0.24002216982267632;6;17
Says Russ Feingold got paid $8000 a lecture at Stanford University;0.25;0.1997321943827859;0.05026780561721411;2;9
Says Connie Mack wrote a letter to the Department of Transportation in order to get $29 million in stimulus for his congressional district;1;0.17854075844969797;0.821459241550302;9;21
Says Texas ranks first among the states in the amount of carbon dioxide emitted and toxic chemicals released into water;0.5;0.46610391421548747;0.03389608578451253;8;18
The first round of stimulus it created zero jobs;0;0.6124318373705253;-0.6124318373705253;3;7
The Senate Finance Committee approved a reform proposal that has both Democratic and Republican support;0.25;0.6124318373705253;-0.3624318373705253;3;13
Say Apples Tim Cook will not do business with Indiana;0;-1;1.0;0;8
Lindsay Parkhurst wants to take away programs like Social Security and Medicare that seniors have earned throughout their lifetimes;0;0.13939670550909633;-0.13939670550909633;4;17
By eliminating the public intervenors office I was the first one to fire Kathleen Falk;0.5;1.0;-0.5;2;13
Says Rick Santorum voted to let convicted felons vote;0.5;1.0;-0.5;3;7
The costs for families in the individual market for the same type of coverage that theyre currently receiving would go down 14 percent to 20 percent;0.5;0.38620198690768714;0.11379801309231286;7;24
Says he voted no on the Wall Street bailouts;0.25;0.21358609736577228;0.036413902634227724;5;7
Seniors enrolled in Medicare Advantage are going to see an average premium increase between $50 and $90 per month;0.25;1.0;-0.75;1;17
Says Republicans want to cut education by 25 percent;0.75;0.31953460084047147;0.43046539915952853;4;7
Says a bill requiring ultrasounds before abortions was supported by Republicans and Democrats;0.5;0.4875110866310647;0.012488913368935317;3;11
80 percent of the American people havent gotten a pay raise since the crash;0.75;0.46009147182190235;0.28990852817809765;5;12
Assault rifles already are banned;0.25;-1;1.25;0;3
Since 1990every continent has seen substantial gains with individual incomes growing by more than a third in every region of the developing world;0.75;0.4601613308543422;0.2898386691456578;6;21
Colorado saw increased incidents of emergency room visits by young people and increased incidents of driving while under the influence of marijuana following the legalization of recreational pot;0.5;0.25881038965014447;0.24118961034985553;3;26
On opposing legislation that would take away existing health care plans;0.5;0.31624824852019073;0.18375175147980927;4;9
GDP was zero essentially for the last two quarters;0;1.0;-1.0;2;7
Says a quote at the top of the redesigned website for the Department of Justice comes from a socialist who wanted to impose global common law;0;0.4432535035602918;-0.4432535035602918;6;24
As a sign of extraordinary progress there are half as many primary-age children out of school today as there were 15 years ago;0.5;1.0;-0.5;5;21
Hillary stood up for universal health care when almost no one else would and kept standing till 6-million kids had coverage;0.5;1.0;-0.5;4;19
Says there have been some job gains in the McMansion State since Mr. Christie took office but they have lagged gains both in the nation as a whole and in New York and Connecticut the obvious points of comparison;1;0.4598407762674195;0.5401592237325805;11;37
When Congressman Langevin took office gas was around $1.70 per gallon and now it is near $4 per gallon;0.25;1.0;-0.75;1;17
Planned Parenthood is an organization that funnels millions of dollars in political contributions to pro-abortion candidates;0.75;0.17854075844969797;0.571459241550302;3;14
More people have watched Morning Joe than CNN and HLN 5 years in a row;0.75;1.0;-0.25;3;13
The Obama Administrations own White House Council of Economic Advisers has estimated 4.7 million Americans will lose their jobs if the health care bill passes;0;0.17854075844969797;-0.17854075844969797;6;23
Says Wisconsin state Sen. Randy Hopper R-Fond du Lac has already been recalled;0;0.28858606388713337;-0.28858606388713337;7;11
Georgia lawmakers are now considering passing the most extreme gun bill in America;0.25;-1;1.25;0;11
In Congress right now were doing the best job we have ever done in women in the federal legislature but its still only 19 percent;1;0.3817500914431218;0.6182499085568782;5;23
Most state employees did not receive any pay raise from 2009 to 2012;1;-1;2.0;0;11
A simple review of the Backrooms health code records will reveal that the restaurant already has a long-standing problem with rodent infestations;0;-1;1.0;0;20
Says $38 billion in spending cuts in federal budget compromise is less than $1 billion in real cuts;0.25;0.6174786707120921;-0.36747867071209206;4;16
Eighty-five percent of governments running right now. Only 15 percent of government spending is shut down;0.5;0.22840583467873699;0.271594165321263;4;14
The EPA has tried to define a puddle or a drainage ditch on your farm to be navigable waters and thus subject to massive environmental regulations;0.25;-1;1.25;0;24
Says public education will get more money in 2012-13 though lawmakers cut $15 billion in overall spending;0.5;1.0;-0.5;2;15
We have completely turned our economy around;0.5;-1;1.5;0;5
Theres only three countries in the entire world wheretheres no paid vacation by law we happen to be one of them;0.5;0.30928776652782775;0.19071223347217225;7;19
An organized crime syndicate was extorting money from his Tom Ganleys business threatening his family but he fought back and won the FBIs highest civilian awar;1;-1;2.0;0;24
Attacks on Planned Parenthood come at a time when the poverty rate among women is the highest in nearly two decades and 1 in 5 women under 65 dont have access to health care;0.75;0.37646064167044013;0.37353935832955987;14;32
I am the only candidate who ran in either primary who said I will not raise taxes on the middle class;0;0.16709073620077952;-0.16709073620077952;16;19
By releasing only basic tax information former U.S. Congressman Nathan Deal is hiding more than hes disclosed about his business dealing with the state;0.5;0.1733086521669983;0.3266913478330017;3;22
22 times Barack Obama said he did not have the authority to implement this type of anti-deportation measure. And then the day after he signed this into law he said quote I just changed the law;0.75;0.4172638723554677;0.3327361276445323;10;34
A clause hidden in the Obamacare bill which is now law gives Obama the right to form a private army;0;0.09063126643206143;-0.09063126643206143;3;18
Since 2009 Georgias public schools have lost nearly 9000 classroom teachers while the number of students has gone up;1;0.4804962474693655;0.5195037525306345;4;17
The Republicans have never done anything really to balance the budget;0;0.32349492076373265;-0.32349492076373265;3;9
On privatization of Social Security;0;0.27249041402892327;-0.27249041402892327;2;3
Romney signed government-mandated health care with taxpayer-funded abortions;0.25;1.0;-0.75;1;6
The number of people who believeinsocialism is increasing;0.5;0.3574480367521855;0.1425519632478145;3;6
The Obama administration even proposed banning farm kids from doing basic chores;0;1.0;-1.0;1;10
Says U.S. Senate candidate Tommy Thompson supports a plan for privatizing Social Security;0;0.2247079751951514;-0.2247079751951514;7;11
After years of 5.5 percent average tuition increases we now have a two-year tuition freeze for the first time in the history of the UW System;0.75;0.38451801988451295;0.36548198011548705;9;24
Make no mistake  Sherrod Brown is one of the main D.C. politicians responsible for Ohio jobs moving to China;0;0.2847027830482637;-0.2847027830482637;3;17
