0;Says the Annies List political group supports third-trimester abortions on demand.
0.5;When did the decline of coal start? It started when natural gas took off that started to begin in President George W. Bushs administration.
0.75;Hillary Clinton agrees with John McCain by voting to give George Bush the benefit of the doubt on Iran.
0;Health care reform legislation is likely to mandate free sex change surgeries.
0.5;The economic turnaround started at the end of my term.
1;The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured UW faculty fired during the last two decades.
0.25;Jim Dunnam has not lived in the district he represents for years now.
0.5;Im the only person on this stage who has worked actively just last year passing along with Russ Feingold some of the toughest ethics reform since Watergate.
0.5;However it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.
0.75;Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.
0.75;For the first time in history the share of the national popular vote margin is smaller than the Latino vote margin.
0.5;Since 2000 nearly 12 million Americans have slipped out of the middle class and into poverty.
0;When Mitt Romney was governor of Massachusetts we didnt just slow the rate of growth of our government we actually cut it.
0.75;The economy bled $24 billion due to the government shutdown.
0.25;Most of the Affordable Care Act has already in some sense been waived or otherwise suspended.
0.5;In this last election in November ... 63 percent of the American people chose not to vote ... 80 percent of young people and 75 percent of low-income workers chose not to vote.
1;McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote disgraceful. 
0.25;U.S. Rep. Ron Kind D-Wis. and his fellow Democrats went on a spending spree and now their credit card is maxed out
0.5;Water rates in Manila Philippines were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.
0.75;Almost 100000 people left Puerto Rico last year.
0;Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.
0.75;The United States has the highest corporate tax rate in the free world.
0.75;We just had the best year for the auto industry in America in history.
0.5;Says Scott Walker favors cutting up to 350000 families and children off health care.
0.25;Says Mitt Romney wants to get rid of Planned Parenthood.
0;I dont know who Jonathan Gruber is.
0.75;Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.
0.5;Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.
0;ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga Tenn.
0.75;Youth unemployment in minority communities is about 40 to 45 percent.
1;Says Paul Ryan is still endorsing Trump.
0.25;If you look at states that are right to work they constantly do not have budget deficits and they have very good business climates.
0;What the Obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.
0.75;We cut business taxes so today 70 percent of our businesses dont pay a business tax.
0.75;Says Mark Pryor votes with Obama 93 percent of the time.
1;We have a federal government that thinks they have the authority to regulate our toilet seats.
1;Austin is a city that has basically doubled in size every 25 years or so since it was founded.
1;The nuclear test conducted in our nation this time is the Earths 2054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.
0;In the case of a catastrophic event the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.
1;Under President George W. Bush we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.
0;Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.
0.5;Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.
0;Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra the failed solar company
0;Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.
0;We have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes man-made disaster. 
0.5;African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.
0;Obamacare will provide insurance to all non-U.S. residents even if they are here illegally.
0;President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.
0;It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost Capt. Humayun Khans life.
1;Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.
0.25;Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country
0.25;Maggie Hassan raised tuition making it the highest in America.
0;Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.
1;We created 800000 new jobs we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history
0.25;We have towns in West Texas that are out of water that are having to truck in water.
0.5;In Georgia women earn 82 cents for every dollar earned by men.
0.5;A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.
0.25;They were going to build the wall a while ago not so long ago like in 06. And they couldnt get environmental impact statements.
0;Sen. Obamas campaign announced that hes choosing his cabinet.
0.75;In 2008 only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.
0;Only 2 percent of public high schools in the country offer PE classes.
0.75;Said hes the only Republican candidate whos actually turned around a government economy.
1;On military recruiters at Harvard Elena Kagan took a position and the Supreme Court ruled unanimously that she was wrong.
0.75;There are 321092 public school teachers in Texas. And there are 313850 non-teachers in our public schools.
0;Under Mayor Cicilline [Providence] was a sanctuary city.
0;Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.
1;At Bain Capital we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.
0;Says the man who rushed the stage at him in Dayton Ohio had chatter about ISIS or with ISIS in his social media posts.
0.25;U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.
0.25;Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.
1;If you take the population growth here in Virginia we are net zero on job creation since Bob McDonnell became governor.
0.25;Under Obama home values in Florida collapsed construction jobs were lost and the state had a high foreclosure rate.
0.75;The new Arizona immigration law says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.
0.75;The only time in our history when the debt has been higher than this was the end of World War II.
0.75;The cost of health care is now the single-biggest factor driving down the federal budget deficit.
1;During the recession the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.
0;On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.
0.25;Says one out of three U.S. homeless men is a veteran.
0;Says Charlie Crist supports cuts to the Medicare Advantage program.
0.5;I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.
1;Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.
0.5;At some point in their lives 99% of women use birth control.
0;In the past 20 years Egypt has made great strides in political and democratic reform.
0;The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.
1;Says U.S. Rep. Steve Southerland voted to keep the shutdown going.
0.5;In Rick Perrys Texas we import nurses ... from other countries.
0.75;There is a federal criminal law that says its a crime to transport dentures across state lines.
0.75;We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.
0.25;Sen. McCains tax plan provides virtually nothing to the middle class.
0;Austin is burdened by the fastest-growing tax increases of any major city in the nation.
0;Phoenix Arizona is the No. 2 kidnapping capital of the world.
1;I belong to the AFL-CIO.
0.75;The insurance commissioner cant do squat about health care.
0.5;Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.
0.25;President Ronald Reagan sent troops into conflict only in one circumstance which was in Grenada We were in a peacekeeping setting in Lebanon.
0.25;Says David Jolly supports privatizing Social Security.
1;Did you know US population growth is at its lowest since the Great Depression?
0.75;The average student in Florida what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.
1;Since 1968 more Americans have died from gunfire than died in all the wars of this countrys history.
0.75;A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.
0.75;Point Pleasant Beach does not own its beaches
0.25;In the past year more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldnt be there.
0;In the last five years 28000 people have been killed along the U.S.-Mexico border.
0.25;The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.
0;Says Obama health reform law denies millions access to affordable insurance.
0.25;Says HB2 hasnt moved the needle one iota on North Carolinas economy.
0;Close to 30% of our federal prison population consists of illegal immigrants.
0;Says Rick Scott called education not a core function of the state.
0;The Family Research Council according to some government agencies is a terrorist group.
1;Says Rep. Jim Weidner proposed a bill taking away health care for 80000 of Oregons children.
1;Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.
0;Obamacare is the biggest tax increase in American history.
1;You ... said that Barack Obama was not ready to be commander in chief.
0.75;The median male worker in this country has not seen a raise inflation adjusted for 30 years basically.
0.25;Milwaukee Mayor Tom Barrett has held the line on property taxes.
1;Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.
1;Unlike the gridlock in Washington more than 80 percent of the bills we passed during this General Assembly had bipartisan support.
0;Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.
0.5;Rick Scott took $200000 from a family that leased land for drilling and now he is trying to hide from it.
0.5;On how money from a possible lease of the Ohio Turnpike would be used
0.75;At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.
0.5;The president has had 1540 of his nominations confirmed only four defeated.
1;U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.
0.25;Milwaukee County taxpayers paid $370000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.
0.75;There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.
1;Democratic presidents have been considerably more effective at creating private-sector jobs.
1;Joe Biden voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.
0.25;Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.
0.5;One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.
0.5;Military recruiting went on at Harvard every single day throughout the time Kagan was there.
0.75;Says that under Rick Perrys plan Texas has cut funding for public schools by 25%.
0.5;Says David Perdue wants to abolish the U.S. Department of Education which would cost Georgia schools $1 billion a year and eliminate millions in student loans.
0.75;The Paul Ryan budget proposal would privatize Medicare.
0.75;High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.
0.5;The United States imprisons more than any nation in the world.
0;Says Marco Rubio is the one for an open border.
0.75;...Over 30 years federal spending on education has grown by 375 percent but test scores remain flat.
0.25;Says cuts to Medicare affect people who have already paid in. We paid for it.
0.25;David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.
1;The American healthcare system burns 18 percent of our national GDP. Nobody else is close.
0;Providences port is 200 miles closer to Europe than any other Eastern port.
1;Says you need a photo ID to purchase Sudafed in Texas.
0.75;Twenty percent of housing in Portlands Pearl District is affordable.
0.75;Says allowing the payroll tax holiday to expire would end up costing another estimated 900000 jobs in 2012.
0.5;Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.
0.5;Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.
1;Obamas budget plan would take national debt up to about 80 percent of gross national product. ... Historically its been about 40 percent.
0.25;Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.
0;We now have driven health care costs down to the lowest theyve been in 50 years.
0.5;President Barack Obamas initial response when we heard about the Christmas underwear bomber was to say that this was the act of an isolated extremist.
0.5;Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes he now claims that his stimulus bill didnt do enough to lower taxes.
0.75;In the 1950s A lot of people got rich and they had to pay a top tax rate of 90 percent.
0.75;The Charleston S.C. shootershould have never been given a gun but the universal background check was not fast enough.
0.25;Sixty-five percent of the Iraqi people now say its okay to shoot an American soldier.
0;Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.
0.5;Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.
1;Warren Buffett still does support me.
1;Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.
0;A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!
0.75;About 230000 people that were on unemployment when I took office are not on unemployment now.
0.25;One person Kathleen Sebelius was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.
0;Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.
0;Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.
1;During his tenure as mayor he saw Houstons crime rates drop to the lowest levels in more than 25 years.
0;Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.
0.25;John McCain one of the richest people in a Senate filled with millionaires says the solution to the housing crisis is for people to get a second job and skip their vacations.
0;Terry McAuliffe wants to raise your taxes $1700 to pay for his infinite promises.
0.5;Hypocrisy at the Clinton Foundation: Top male staff made on average $218029 while top female staff made $153014 from 2010-2014.
0.75;Since the federal Violence Against Women Act was adopted in 1994 cases of domestic violence have fallen by 67 percent.
0.5;Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.
0.5;On legalizing illegal immigrants.
1;Nearly half of all pregnancies in the U.S. are unintended.
0.5;We are borrowing Saudi money for Saudi oil with the result being dependency and debt.
0.5;Says there are homes for sale on and around Oswego Lake right now for under $150000 that anyone is welcome to buy.
0.5;Since the president became the president we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590000 public sector jobs.
0;The top 1 percent pay over half of the entire revenue for this country.
0.25;The difference over the previous four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.
0.5;Chris Christie has not increased the taxes on anyone.
0.25;The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.
0;Says he never said he would keep education funding the same.
1;Since 1978 college tuition nationwide has gone up something like four times the rate of inflation.
0.5;Says Sen. Rob Portman said It would be irresponsible not to cut Medicare.
0.75;Most of if not all of the [DeKalb school construction] projects always came in on or were under budget.
0;Palin supported right-wing extremist Pat Buchanan for president in 2000.
0.25;Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.
0.25;Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.
0.5;Washington D.C. had some of the strictest gun laws in the country. And when they passed them violence skyrocketed.
0.75;Seven presidents before Barack Obama -- Republicans and Democrats -- tried to expand health care to all Americans.
0;While fighting a move to toughen penalties for workplace gender discrimination state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home cooking and cleaning and having babies.
0;If you put the $47 billion in revenue raised over 10 years by the Buffett rule into infrastructure you could create 611000 infrastructure jobs.
0;What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!
1;I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.
0.75;Starting in December 2007 1.4 million jobs were created in Texas. In that same period the rest of the country lost 400000 jobs.
0.25;The health reform legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.
0.25;The CBO the Congressional Budget Office has said that Obamacare will kill 800000 jobs.
0.25;Thompson voted against $250000 caps on damages and almost anything that would make our legal system fairer.
0;Texas this fiscal year will have more money in reserve than the other 49 states combined.
0;On using the Strategic Petroleum Reserve.
0.75;Immigrants are more fertile.
0.75;The proposed education changes will not cut one teachers pay.
0;The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.
0.75;Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.
0;Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.
0;We spend less on defense today as % of GDP than at any time since Pearl Harbor.
